[2026-05-22 17:33:02] QCA: EESPL_QCA_BKN | ERROR: CONFIG_ERROR | Msg: Missing credentials in .env for QCA: EESPL_QCA_BKN. Please check your environment configuration. | Res: {"status": "CONFIG_ERROR", "message": "Missing credentials in .env for QCA: EESPL_QCA_BKN. Please check your environment configuration."}
[2026-05-22 17:35:10] QCA: EESPL_QCA_BKN | ERROR: GATEWAY_TIMEOUT | Msg: Failed to connect to the energy grid gateway at gateway.posoco.in after 3 attempts. | Res: {"status": "GATEWAY_TIMEOUT", "message": "Failed to connect to the energy grid gateway at gateway.posoco.in after 3 attempts."}
[2026-05-22 17:36:28] QCA: EESPL_QCA_BKN | ERROR: IP_WHITELIST_BLOCKED | Msg: GRID-INDIA Gateway forcibly closed the connection during SSL handshake (Connection Reset). | Res: {"status": "IP_WHITELIST_BLOCKED", "message": "GRID-INDIA Gateway forcibly closed the connection during SSL handshake (Connection Reset).", "diagnostics": "Your public IP address [bold yellow]2401:4900:1c69:259:7806:3bd8:da31:85e3[/bold yellow] is not whitelisted in GRID-INDIA/POSOCO's gateway firewall.\nThe central scheduling gateway is configured to instantly abort connections from unauthorized IP addresses during the SSL handshake.", "raw_response": "('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"}
[2026-05-22 17:44:32] QCA: EESPL_QCA_BKN | ERROR: IP_WHITELIST_BLOCKED | Msg: GRID-INDIA Gateway forcibly closed the connection during SSL handshake (Connection Reset). | Res: {"status": "IP_WHITELIST_BLOCKED", "message": "GRID-INDIA Gateway forcibly closed the connection during SSL handshake (Connection Reset).", "diagnostics": "Your public IP address [bold yellow]2401:4900:1c69:259:7806:3bd8:da31:85e3[/bold yellow] is not whitelisted in GRID-INDIA/POSOCO's gateway firewall.\nThe central scheduling gateway is configured to instantly abort connections from unauthorized IP addresses during the SSL handshake.", "raw_response": "('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"}
[2026-05-22 17:46:36] QCA: EESPL_QCA_BKN | ERROR: IP_WHITELIST_BLOCKED | Msg: GRID-INDIA Gateway forcibly closed the connection during SSL handshake (Connection Reset). | Res: {"status": "IP_WHITELIST_BLOCKED", "message": "GRID-INDIA Gateway forcibly closed the connection during SSL handshake (Connection Reset).", "diagnostics": "Your public IP address [bold yellow]2401:4900:1c69:259:7806:3bd8:da31:85e3[/bold yellow] is not whitelisted in GRID-INDIA/POSOCO's gateway firewall.\nThe central scheduling gateway is configured to instantly abort connections from unauthorized IP addresses during the SSL handshake.", "raw_response": "('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"}
[2026-05-22 17:46:37] QCA: EESPL_QCA_BHDL | ERROR: IP_WHITELIST_BLOCKED | Msg: GRID-INDIA Gateway forcibly closed the connection during SSL handshake (Connection Reset). | Res: {"status": "IP_WHITELIST_BLOCKED", "message": "GRID-INDIA Gateway forcibly closed the connection during SSL handshake (Connection Reset).", "diagnostics": "Your public IP address [bold yellow]2401:4900:1c69:259:7806:3bd8:da31:85e3[/bold yellow] is not whitelisted in GRID-INDIA/POSOCO's gateway firewall.\nThe central scheduling gateway is configured to instantly abort connections from unauthorized IP addresses during the SSL handshake.", "raw_response": "('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"}
[2026-05-22 17:46:39] QCA: EMSYS_QCA_BHDL_2 | ERROR: IP_WHITELIST_BLOCKED | Msg: GRID-INDIA Gateway forcibly closed the connection during SSL handshake (Connection Reset). | Res: {"status": "IP_WHITELIST_BLOCKED", "message": "GRID-INDIA Gateway forcibly closed the connection during SSL handshake (Connection Reset).", "diagnostics": "Your public IP address [bold yellow]2401:4900:1c69:259:7806:3bd8:da31:85e3[/bold yellow] is not whitelisted in GRID-INDIA/POSOCO's gateway firewall.\nThe central scheduling gateway is configured to instantly abort connections from unauthorized IP addresses during the SSL handshake.", "raw_response": "('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"}
[2026-05-22 17:46:55] QCA: EESPL_QCA_BKN2 | ERROR: IP_WHITELIST_BLOCKED | Msg: GRID-INDIA Gateway forcibly closed the connection during SSL handshake (Connection Reset). | Res: {"status": "IP_WHITELIST_BLOCKED", "message": "GRID-INDIA Gateway forcibly closed the connection during SSL handshake (Connection Reset).", "diagnostics": "Your public IP address [bold yellow]2401:4900:1c69:259:7806:3bd8:da31:85e3[/bold yellow] is not whitelisted in GRID-INDIA/POSOCO's gateway firewall.\nThe central scheduling gateway is configured to instantly abort connections from unauthorized IP addresses during the SSL handshake.", "raw_response": "('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"}
[2026-05-22 17:52:12] QCA: EMSYS_QCA_BHDL_2 | ERROR: IP_WHITELIST_BLOCKED | Msg: GRID-INDIA Gateway forcibly closed the connection during SSL handshake (Connection Reset). | Res: {"status": "IP_WHITELIST_BLOCKED", "message": "GRID-INDIA Gateway forcibly closed the connection during SSL handshake (Connection Reset).", "diagnostics": "Your public IP address [bold yellow]2401:4900:1c69:259:7806:3bd8:da31:85e3[/bold yellow] is not whitelisted in GRID-INDIA/POSOCO's gateway firewall.\nThe central scheduling gateway is configured to instantly abort connections from unauthorized IP addresses during the SSL handshake.", "raw_response": "('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"}
[2026-06-05 12:03:28] QCA: EESPL_QCA_BKN | ERROR: IP_WHITELIST_BLOCKED | Msg: GRID-INDIA Gateway forcibly closed the connection during SSL handshake (Connection Reset). | Res: {"status": "IP_WHITELIST_BLOCKED", "message": "GRID-INDIA Gateway forcibly closed the connection during SSL handshake (Connection Reset).", "diagnostics": "Your public IP address [bold yellow]2401:4900:1c31:3871:dd1d:b734:9189:5546[/bold yellow] is not whitelisted in GRID-INDIA/POSOCO's gateway firewall.\nThe central scheduling gateway is configured to instantly abort connections from unauthorized IP addresses during the SSL handshake.", "raw_response": "('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"}
[2026-06-05 12:21:39] QCA: EESPL_QCA_BKN | ERROR: API_LEVEL_ERROR | Msg: None | Res: {"status": "API_LEVEL_ERROR", "code": "WBES-200", "message": null, "details": []}
